cohort_month,cohort_month_name,cohort_index,active_customers,total_customers,retention_rate
2020-01,"Jan 2020",0,241,241,100.00%
2020-01,"Jan 2020",1,6,241,2.49%
2020-01,"Jan 2020",2,3,241,1.24%
2020-01,"Jan 2020",3,10,241,4.15%
2020-01,"Jan 2020",4,5,241,2.07%
2020-01,"Jan 2020",5,10,241,4.15%
2020-01,"Jan 2020",6,8,241,3.32%
2020-01,"Jan 2020",7,5,241,2.07%
2020-01,"Jan 2020",8,6,241,2.49%
2020-01,"Jan 2020",9,10,241,4.15%
2020-01,"Jan 2020",10,5,241,2.07%
2020-01,"Jan 2020",11,4,241,1.66%
2020-01,"Jan 2020",12,13,241,5.39%
2020-01,"Jan 2020",13,3,241,1.24%
2020-01,"Jan 2020",14,4,241,1.66%
2020-01,"Jan 2020",15,8,241,3.32%
2020-01,"Jan 2020",16,9,241,3.73%
2020-01,"Jan 2020",17,5,241,2.07%
2020-01,"Jan 2020",18,6,241,2.49%
2020-01,"Jan 2020",19,4,241,1.66%
2020-01,"Jan 2020",20,8,241,3.32%
2020-01,"Jan 2020",21,9,241,3.73%
2020-01,"Jan 2020",22,6,241,2.49%
2020-01,"Jan 2020",23,7,241,2.90%
2020-01,"Jan 2020",24,9,241,3.73%
2020-01,"Jan 2020",25,5,241,2.07%
2020-01,"Jan 2020",26,4,241,1.66%
2020-01,"Jan 2020",27,12,241,4.98%
2020-01,"Jan 2020",28,5,241,2.07%
2020-01,"Jan 2020",29,3,241,1.24%
2020-01,"Jan 2020",30,7,241,2.90%
2020-01,"Jan 2020",31,7,241,2.90%
2020-01,"Jan 2020",32,6,241,2.49%
2020-01,"Jan 2020",33,6,241,2.49%
2020-01,"Jan 2020",34,4,241,1.66%
2020-01,"Jan 2020",35,6,241,2.49%
2020-01,"Jan 2020",36,9,241,3.73%
2020-01,"Jan 2020",37,7,241,2.90%
2020-01,"Jan 2020",38,5,241,2.07%
2020-01,"Jan 2020",39,7,241,2.90%
2020-01,"Jan 2020",40,8,241,3.32%
2020-01,"Jan 2020",41,5,241,2.07%
2020-01,"Jan 2020",42,7,241,2.90%
2020-01,"Jan 2020",43,6,241,2.49%
2020-01,"Jan 2020",44,5,241,2.07%
2020-01,"Jan 2020",45,4,241,1.66%
2020-01,"Jan 2020",46,6,241,2.49%
2020-01,"Jan 2020",47,4,241,1.66%
2020-01,"Jan 2020",48,4,241,1.66%
2020-01,"Jan 2020",49,8,241,3.32%
2020-01,"Jan 2020",50,3,241,1.24%
2020-01,"Jan 2020",51,8,241,3.32%
2020-01,"Jan 2020",52,6,241,2.49%
2020-01,"Jan 2020",53,7,241,2.90%
2020-01,"Jan 2020",54,7,241,2.90%
2020-01,"Jan 2020",55,3,241,1.24%
2020-01,"Jan 2020",56,5,241,2.07%
2020-01,"Jan 2020",57,4,241,1.66%
2020-01,"Jan 2020",58,4,241,1.66%
2020-01,"Jan 2020",59,3,241,1.24%
2020-01,"Jan 2020",60,7,241,2.90%
2020-01,"Jan 2020",61,2,241,0.83%
2020-01,"Jan 2020",62,6,241,2.49%
2020-01,"Jan 2020",63,3,241,1.24%
2020-02,"Feb 2020",0,228,228,100.00%
2020-02,"Feb 2020",1,5,228,2.19%
2020-02,"Feb 2020",2,8,228,3.51%
2020-02,"Feb 2020",3,4,228,1.75%
2020-02,"Feb 2020",4,6,228,2.63%
2020-02,"Feb 2020",5,7,228,3.07%
2020-02,"Feb 2020",6,8,228,3.51%
2020-02,"Feb 2020",7,8,228,3.51%
2020-02,"Feb 2020",8,8,228,3.51%
2020-02,"Feb 2020",9,1,228,0.44%
2020-02,"Feb 2020",10,6,228,2.63%
2020-02,"Feb 2020",11,8,228,3.51%
2020-02,"Feb 2020",12,7,228,3.07%
2020-02,"Feb 2020",13,6,228,2.63%
2020-02,"Feb 2020",14,5,228,2.19%
2020-02,"Feb 2020",15,3,228,1.32%
2020-02,"Feb 2020",16,6,228,2.63%
